,train_loss,valid_loss
0,0.0019644066679757087,0.0019025905756279826
1,0.0017258658225182443,0.001658337190747261
2,0.0016458253813907504,0.001647000014781952
3,0.0016103177592158317,0.001639300724491477
4,0.0015672320905141532,0.0015591565752401948
5,0.0015424916418269278,0.0015345355262979866
6,0.0015367681274656207,0.001514049991965294
7,0.0015071173121687024,0.0015119720716029405
8,0.0014922723992494866,0.001495010033249855
9,0.0014865373796783387,0.0014821309596300125
10,0.001470961594255641,0.0014579533599317074
11,0.0014644060486461968,0.001446799491532147
12,0.0014495158272329718,0.0014434410724788905
13,0.0014451793092302978,0.001439202786423266
14,0.0014337011398747564,0.0014333482598885895
